#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	65369	65719	350	0	NA	NA	NA	NA	NA
chr1	450690	451040	350	0	NA	NA	NA	NA	NA
chr1	685629	685979	350	0	NA	NA	NA	NA	NA
chr1	923873	924223	350	350	0.33	2.72	1.01	1.00	353.91
chr1	944153	944503	350	350	1.76	10.48	5.24	4.07	1834.23
chr1	960534	960884	350	350	0.90	3.59	2.00	1.86	699.15
chr1	966432	966782	350	350	0.11	1.76	0.70	0.51	246.40
chr1	975154	975504	350	350	0.48	8.76	3.57	2.19	1250.59
chr1	998912	999262	350	350	0.21	1.86	0.65	0.50	228.97
chr1	1001088	1001438	350	350	0.66	2.92	1.02	0.96	358.54
chr1	1020070	1020420	350	350	1.00	2.72	1.91	1.86	668.92
chr1	1070917	1071267	350	350	0.56	1.48	1.04	1.06	365.70
chr1	1081768	1082118	350	350	0.47	1.77	1.00	0.93	349.04
chr1	1173830	1174180	350	350	0.54	4.45	2.15	2.72	751.08
chr1	1203458	1203808	350	350	0.54	5.31	3.06	2.92	1070.52
chr1	1211290	1211640	350	350	0.23	1.48	0.69	0.68	243.06
chr1	1216859	1217209	350	350	0.62	3.59	1.44	1.20	505.75
chr1	1232187	1232537	350	350	1.00	3.59	1.40	1.00	489.60
chr1	1242396	1242746	350	350	0.49	1.97	1.22	1.33	425.26
chr1	1253859	1254209	350	350	0.25	1.79	0.72	0.51	252.56
chr1	1280386	1280736	350	350	0.69	1.07	0.85	0.79	296.23
chr1	1292340	1292690	350	350	0.88	3.95	2.14	2.06	747.26
chr1	1308547	1308897	350	350	0.91	4.45	3.08	3.59	1078.63
chr1	1311535	1311885	350	350	0.23	1.76	0.90	0.90	315.48
chr1	1324706	1325056	350	350	1.33	2.34	1.79	1.97	627.80
chr1	1331230	1331580	350	350	2.06	9.62	5.19	4.38	1817.43
chr1	1335226	1335576	350	350	1.06	5.31	3.29	2.65	1152.24
chr1	1352639	1352989	350	350	0.74	4.81	1.80	1.03	630.03
chr1	1373680	1374030	350	350	1.06	5.31	2.08	1.54	728.76
chr1	1385661	1386011	350	350	0.12	3.59	1.20	0.47	421.52
chr1	1401859	1402209	350	350	0.44	3.52	1.91	1.77	668.46
chr1	1418370	1418720	350	350	0.56	1.54	1.12	1.06	390.43
chr1	1425821	1426171	350	350	0.31	1.25	0.59	0.54	206.57
chr1	1434811	1435161	350	350	0.17	2.72	1.33	1.54	465.01
chr1	1449639	1449989	350	350	0.33	4.45	1.47	0.93	515.04
chr1	1471715	1472065	350	350	0.47	2.92	1.16	0.91	406.08
chr1	1512112	1512462	350	350	1.00	6.10	3.72	3.95	1301.55
chr1	1534728	1535078	350	350	0.72	2.06	0.99	0.90	345.57
chr1	1541623	1541973	350	350	0.27	1.79	0.69	0.62	240.44
chr1	1597962	1598312	350	350	0.25	1.33	0.75	0.90	263.85
chr1	1615404	1615754	350	350	0.33	9.62	1.91	1.31	667.98
chr1	1632113	1632463	350	350	1.00	4.45	2.88	2.72	1007.67
chr1	1635175	1635525	350	350	0.33	1.00	0.76	1.00	266.67
chr1	1659479	1659829	350	350	0.62	1.86	0.95	0.91	331.54
chr1	1702329	1702679	350	350	0.90	1.79	1.08	0.93	376.29
chr1	1751182	1751532	350	350	1.00	1.00	1.00	1.00	350.00
chr1	1785235	1785585	350	350	0.89	3.09	1.75	1.76	611.79
chr1	1915058	1915408	350	350	0.33	1.79	0.65	0.60	229.19
chr1	1917540	1917890	350	350	1.20	1.76	1.43	1.48	499.86
chr1	1921901	1922251	350	350	0.45	1.33	0.82	0.68	287.18
chr1	2019279	2019629	350	350	1.00	1.86	1.07	1.00	375.00
chr1	2050361	2050711	350	350	0.47	2.72	1.35	1.00	472.55
chr1	2184411	2184761	350	350	0.64	1.03	0.79	0.77	275.77
chr1	2228269	2228619	350	350	1.00	1.00	1.00	1.00	350.00
chr1	2321203	2321553	350	350	0.64	1.76	1.12	0.99	390.61
chr1	2391725	2392075	350	350	0.37	5.31	2.01	1.78	704.84
chr1	2403914	2404264	350	350	0.91	7.03	2.87	2.19	1003.32
chr1	2425930	2426280	350	350	0.60	3.09	1.91	1.77	667.05
chr1	2508487	2508837	350	350	0.90	2.22	1.71	1.77	596.90
chr1	2528695	2529045	350	350	1.33	2.63	2.10	2.34	735.76
chr1	2555589	2555939	350	350	0.90	2.72	1.24	0.93	434.32
chr1	2586441	2586791	350	350	0.68	1.77	0.82	0.74	288.25
chr1	2590589	2590939	350	350	1.58	7.90	3.42	2.92	1198.11
chr1	2635926	2636276	350	350	0.37	1.86	1.47	1.86	515.14
chr1	3021417	3021767	350	350	0.21	2.65	0.57	0.27	198.95
chr1	3069118	3069468	350	350	0.33	1.00	0.75	0.91	263.72
chr1	3454615	3454965	350	350	1.77	5.31	2.90	3.09	1015.98
chr1	3487901	3488251	350	350	0.90	3.49	2.21	1.58	772.68
chr1	3624965	3625315	350	350	0.25	3.59	2.04	2.72	714.77
chr1	3630717	3631067	350	350	0.21	3.21	0.99	0.62	345.37
chr1	3652466	3652816	350	350	0.37	1.76	0.96	1.11	337.37
chr1	3746410	3746760	350	350	0.91	3.59	1.69	1.36	592.42
chr1	3772699	3773049	350	350	0.91	7.90	3.18	2.22	1111.99
chr1	3778509	3778859	350	350	0.33	1.33	0.83	0.91	289.18
chr1	3812036	3812386	350	350	0.45	5.31	1.88	1.58	656.96
chr1	3857217	3857567	350	350	0.45	2.92	1.59	2.19	557.96
chr1	3889075	3889425	350	350	0.12	1.06	0.54	0.34	189.84
chr1	4654559	4654909	350	350	0.25	1.00	0.73	1.00	256.18
chr1	5862761	5863111	350	350	0.21	2.72	1.25	0.50	438.43
chr1	5990877	5991227	350	350	0.59	2.92	1.58	1.41	552.88
chr1	6101737	6102087	350	350	3.59	5.31	4.57	4.45	1599.83
chr1	6159380	6159730	350	350	0.89	8.76	6.11	7.03	2137.82
chr1	6184970	6185320	350	350	0.77	3.09	1.35	1.23	473.31
chr1	6205425	6205775	350	350	0.54	1.97	1.22	1.15	427.50
chr1	6221143	6221493	350	350	0.90	5.31	2.86	2.65	1001.62
