#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	65719	74585	8866	0	NA	NA	NA	NA	NA
chr1	451040	454678	3638	0	NA	NA	NA	NA	NA
chr1	685979	689673	3694	0	NA	NA	NA	NA	NA
chr1	924223	947575	23352	23352	0.09	12.21	1.77	1.20	41430.74
chr1	944503	962309	17806	17806	0.10	12.21	1.50	1.03	26750.38
chr1	960884	968719	7835	7835	0.11	6.17	1.63	1.23	12747.65
chr1	966782	978865	12083	12083	0.20	8.76	1.46	1.00	17640.83
chr1	975504	985093	9589	9589	0.10	8.76	1.54	1.03	14737.67
chr1	999262	1003172	3910	3910	0.31	9.62	2.13	1.58	8340.95
chr1	1001438	1017540	16102	16102	0.17	9.62	1.74	1.33	27988.45
chr1	1020420	1059118	38698	38698	0.09	7.90	1.36	0.91	52462.90
chr1	1071267	1077306	6039	6039	0.14	10.48	1.41	1.00	8530.58
chr1	1082118	1119361	37243	37243	0.08	8.76	1.53	1.06	56969.81
chr1	1174180	1200936	26756	26756	0.12	11.34	1.32	0.91	35438.81
chr1	1203808	1209592	5784	5784	0.11	7.90	1.57	1.20	9103.49
chr1	1211640	1217153	5513	5513	0.11	7.03	1.11	0.68	6116.60
chr1	1217209	1235067	17858	17858	0.08	9.62	1.39	1.05	24879.03
chr1	1232537	1238041	5504	5504	0.31	7.90	1.31	1.00	7196.65
chr1	1242746	1249722	6976	6976	0.08	6.17	1.24	1.00	8625.10
chr1	1254209	1276864	22655	22655	0.12	9.62	1.63	1.00	37024.01
chr1	1280736	1295029	14293	14293	0.17	11.34	1.58	1.05	22632.55
chr1	1292690	1312609	19919	19919	0.09	9.62	1.64	1.33	32715.62
chr1	1308897	1314677	5780	5780	0.09	5.31	1.23	1.06	7083.96
chr1	1311885	1327687	15802	15802	0.11	9.62	1.71	1.20	26968.11
chr1	1325056	1331896	6840	6840	0.12	9.62	1.95	1.46	13362.40
chr1	1331580	1338314	6734	6734	0.27	13.07	1.83	1.23	12324.31
chr1	1335576	1352418	16842	16842	0.17	5.31	1.31	1.00	22047.21
chr1	1352989	1364777	11788	11788	0.16	13.93	1.74	1.13	20489.66
chr1	1374030	1378495	4465	4465	0.17	10.48	1.98	1.58	8845.88
chr1	1386011	1402335	16324	16324	0.12	13.93	1.66	1.23	27066.67
chr1	1402209	1410293	8084	8084	0.09	10.48	1.82	1.11	14700.79
chr1	1418720	1424769	6049	6049	0.11	10.48	1.69	1.00	10234.20
chr1	1426171	1433255	7084	7084	0.20	7.90	1.60	1.32	11348.56
chr1	1435161	1445882	10721	10721	0.14	8.76	1.36	0.91	14632.49
chr1	1449989	1473163	23174	23174	0.12	13.07	1.61	1.16	37353.71
chr1	1472065	1500848	28783	28783	0.10	9.62	1.54	1.00	44325.49
chr1	1512462	1537685	25223	25223	0.09	11.34	1.72	1.13	43315.36
chr1	1535078	1543624	8546	8546	0.17	10.48	1.33	0.93	11386.49
chr1	1541973	1577863	35890	35890	0.12	10.48	1.60	1.20	57433.71
chr1	1598312	1603135	4823	4823	0.10	10.48	1.82	1.00	8790.85
chr1	1615754	1633605	17851	17851	0.10	10.48	1.78	1.20	31769.81
chr1	1632463	1638263	5800	5800	0.12	4.45	1.30	1.00	7522.06
chr1	1635525	1662012	26487	26487	0.08	12.21	1.32	1.00	34904.40
chr1	1659829	1695795	35966	35966	0.08	8.26	1.65	1.00	59369.57
chr1	1702679	1727357	24678	24678	0.17	7.90	1.29	1.00	31739.00
chr1	1751532	1783457	31925	31925	0.17	10.48	1.63	1.11	51910.27
chr1	1785585	1894117	108532	108532	0.09	13.93	1.40	1.00	152435.25
chr1	1915408	1920296	4888	4888	0.17	4.45	1.51	1.23	7361.86
chr1	1917890	1922279	4389	4389	0.17	3.59	1.08	0.89	4726.91
chr1	1922251	2006837	84586	84586	0.07	17.38	1.41	0.91	119070.99
chr1	2019629	2033758	14129	14129	0.12	10.48	1.27	0.89	17959.03
chr1	2050711	2188395	137684	137684	0.07	11.34	1.35	0.93	185380.25
chr1	2184761	2215720	30959	30959	0.08	11.34	1.77	1.23	54693.18
chr1	2228619	2313213	84594	84594	0.08	11.34	1.50	1.00	126529.18
chr1	2321553	2394707	73154	73154	0.07	13.07	1.39	0.91	101418.78
chr1	2392075	2408442	16367	16367	0.09	11.34	1.43	1.00	23387.63
chr1	2404264	2416797	12533	12533	0.11	12.21	1.48	1.06	18564.07
chr1	2426280	2508532	82252	82252	0.09	11.34	1.43	0.93	117724.59
chr1	2508837	2529597	20760	20760	0.10	13.07	1.35	0.91	28008.18
chr1	2529045	2533263	4218	4218	0.14	2.72	0.67	0.50	2818.68
chr1	2555939	2568382	12443	12443	0.11	8.76	1.22	0.90	15136.92
chr1	2586791	2594469	7678	7678	0.17	7.90	1.60	1.20	12279.97
chr1	2590939	2636016	45077	45077	0.10	9.62	1.37	0.91	61831.21
chr1	2636276	2804717	168441	168441	0.12	9.62	1.18	1.00	199132.45
chr1	3021767	3025903	4136	4136	0.17	7.03	1.85	1.41	7649.76
chr1	3069468	3441621	372153	372153	0.08	15.65	1.45	0.93	537909.49
chr1	3454965	3484113	29148	29148	0.07	11.34	1.48	1.00	43219.13
